No,Name
Name 1,ねっとり極蜜！あま～いサツマイモ鹿児島県産紅はるか（５kg）☆訳あり品☆サイズ混合
Name 2,【超絶人気】夕やけみかん（5㎏）（大人気のみかんです！）
Name 3,葉取らず樹上完熟蜜入サンふじ5k16-23訳あり
Name 4,新鮮朝獲れブロッコリー３本入り
Name 5,あま～い和歌山晩秋の味　富有柿　家庭用小箱（3㎏前後）
Name 6,【福袋2023】チーズ好きに贈る。ファームのおまかせチーズ5種BOX
Name 7,生食用４ｋｇ【12/31年内最終出荷 即日発送も可能】４kg 生食用 殻付き 牡蠣 （28~55粒）【めざましテレビで放送】 牡蠣 殻付き 加熱時は増量で５kg
Name 8,菌床生しいたけ！小さくても美味しい１㎏橋本ふるさと便　期間限定
Name 9,【特別栽培】和歌山県産　八朔(5kg)
Name 10,"【福袋2023】3,000円相当おトク！あか牛のご飯が簡単・楽しくなるセット（2～3人前）【ミシュラン星付き店御用達和牛】"
Name 11,発送中！【葉っぱ取り忘れ】サンふじ　3キロ箱　商品ID43397
Name 12,愛まどんな家庭用5㎏
Name 13,生食用２ｋｇ【12/31年内最終出荷 即日発送も可能】生食用 殻付き 牡蠣 （14~30粒）【めざましテレビで放送】【一部条件付き】牡蠣 殻付き 牡蛎 宮城県産カキ加熱出荷時は３ｋｇ【現在生食出荷中】
Name 14,《発送開始》頂みかん3ｋｇ
Name 15,新鮮朝獲れブロッコリー６本入り
